f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,fault,hotel
28.1,27.7,28.9,28.8,0.0,34.4,34.6,638.9,600.3,0.0,15.0,0.0,0.0,0.0,0.0,413.0,0.0,0.0,2
12.8,11.2,18.8,20.4,280.98,29.9,30.1,342.8,454.0,17.2,58.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,3
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
11.7,8.0,31.9,33.8,0.0,7.6,44.9,280.9,706.7,0.0,52.0,37.0,61.9,129.0,23095.0,379.0,78.4,0.0,2
12.8,11.2,20.6,22.0,280.98,12.6,35.3,319.7,581.2,7.5,60.0,20.0,100.0,44.0,21700.0,409.0,25.9,0.0,3
18.9,17.2,31.1,34.1,395.42,14.5,42.9,374.8,874.2,2.1,53.0,27.2,33.2,68.0,18920.0,378.0,40.0,0.0,1
17.2,16.9,27.6,27.8,69.78,29.5,31.0,432.6,607.5,11.6,63.0,0.0,0.0,0.0,0.0,382.0,0.0,0.0,1
17.6,17.4,28.7,29.2,21.17,34.0,34.6,447.3,631.2,14.5,70.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,1
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,3
10.9,8.1,26.0,28.2,354.95,11.8,36.0,271.1,611.6,0.0,52.0,38.2,37.7,61.0,18750.0,399.0,33.8,0.0,2
11.9,9.1,32.6,35.8,354.95,11.5,50.1,261.6,853.8,0.0,50.0,39.8,100.0,157.0,24373.0,381.0,96.5,0.0,2
11.3,10.8,33.4,33.9,0.0,24.6,45.9,340.3,690.5,0.0,45.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,2
11.4,8.0,29.1,32.0,431.01,10.8,41.6,257.8,681.4,0.0,52.0,41.6,66.4,113.0,22189.0,389.0,69.1,0.0,2
11.4,7.9,27.9,31.2,443.68,11.3,40.5,263.0,682.4,0.0,52.0,41.2,49.8,89.0,20768.0,391.0,51.8,0.0,2
11.7,7.9,26.9,30.3,481.71,11.0,39.6,261.3,652.6,0.0,52.0,43.1,54.9,89.0,20792.0,396.0,53.0,0.0,2
13.2,11.1,24.1,25.7,368.79,12.5,33.0,314.8,619.4,3.6,54.0,24.7,42.0,45.0,18613.0,407.0,26.2,0.0,0
19.0,17.8,25.5,27.3,279.12,15.6,35.0,396.8,656.8,3.1,70.0,20.0,20.4,26.0,15782.0,382.0,15.0,0.0,1
19.5,18.0,29.4,30.9,158.75,15.9,36.1,401.7,686.8,3.0,55.0,22.2,25.2,35.0,16652.0,375.0,20.0,0.0,1
12.0,8.0,26.4,29.4,507.07,11.0,39.1,263.6,656.7,0.0,53.0,41.8,56.9,90.0,20799.0,403.0,55.5,0.0,2
20.0,18.2,23.6,25.9,418.68,14.3,34.3,377.1,651.5,2.8,69.0,40.0,37.5,49.0,16371.0,384.0,28.5,0.0,1
19.7,18.2,24.1,25.9,348.9,15.1,33.8,389.1,649.5,2.3,69.0,40.0,29.1,38.0,15249.0,374.0,21.3,0.0,1
18.1,17.8,23.1,23.0,0.0,27.9,28.1,452.5,491.8,0.0,43.0,0.0,0.0,0.0,0.0,427.0,0.0,0.0,2
19.8,18.3,25.5,27.7,348.9,15.6,32.8,396.6,637.5,1.7,54.0,24.5,23.7,29.0,14418.0,380.0,17.1,0.0,1
12.6,11.1,26.9,28.4,263.42,12.8,37.0,313.1,698.0,4.0,63.0,20.9,38.5,47.0,19556.0,411.0,27.7,0.0,0
11.6,8.6,31.8,35.2,380.3,11.0,49.1,257.0,821.7,0.0,53.0,43.1,100.0,160.0,24595.0,390.0,99.4,0.0,2
11.7,8.1,25.5,28.9,456.36,10.9,37.9,260.1,630.7,0.0,52.0,43.7,55.9,86.0,20669.0,404.0,52.2,0.0,2
15.2,9.6,26.0,29.5,709.9,11.9,47.5,268.6,778.3,0.0,50.0,43.5,100.0,160.0,24366.0,392.0,99.3,0.0,2
13.6,10.9,29.8,31.9,474.16,37.8,38.4,351.1,653.1,25.0,63.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0
14.6,12.0,28.4,30.7,456.59,26.3,43.1,360.6,651.9,28.7,52.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0
